"vdid","routeid","roadsection","locationpath","startlocationpoint","endlocationpoint","roadway","vsrnum","vdtype","locationtype","px","py" 
"65000V005740","65000m00546","連城路(中正路到員山路)","-99","-99","-99","雙向","6","2","3(路段中側邊)","121.48214826590628","24.9957761822872120" 
"65000V006200","65000m00583","中正路(員山路到連城路)","-99","-99","-99","單向","3","2","3(路段中側邊)","121.48511505126953","24.9992237091064450" 
"65000V008130","65000m02143","雙十路二段(文化路到縣民大道)","-99","-99","-99","雙向","4","2","3(路段中側邊)","121.47560174975328","25.0275638244076330" 
"65000V008940","65000m03543","大漢橋(中正路到長江路)","-99","-99","-99","雙向","6","2","3(橋中側邊)","121.46286229047712","25.0332235268833830" 
"65000V009560","65000mGKBM5","萬板橋(西藏路(臺北市)到民生路(板橋))","-99","-99","-99","雙向","4","2","3(橋中側邊)","121.48481375187832","25.0284086919519910" 
"65000V009850","65000m00975","重陽路四段(三和路到中正北路)","-99","-99","-99","單向","2","2","3(路段中側邊)","121.492122","25.070718" 
"65000V010000","65000m01000","重陽路二段(中山路到中正北路)","-99","-99","-99","雙向","4","2","3(路段中側邊)","121.487060546875","25.0627403259277340" 
"65000V010010","65000m01091","中正路(明志路到新樹路)","-99","-99","-99","單向","2","2","3(路段中側邊)","121.437343","25.033075" 
"65000V010200","65000m05307","新海橋(新海路到中正路(新莊))","-99","-99","-99","雙向","2","2","3(橋中側邊)","121.45637074898517","25.0301428165774060" 
"65000V010240","65000m01024","中華路一段(復興路到中正路)","-99","-99","-99","雙向","2","2","3(路段中側邊)","121.452006","25.0385139999999990" 
"65000V015000","65000m02882","中央路三段(中華路到大安路)","-99","-99","-99","雙向","6","2","3(路段中側邊)","121.43670482369816","24.9670885871338370" 
"65000V015640","65000m01533","中正路(三福街到光武街)","-99","-99","-99","雙向","6","2","3(路段中側邊)","121.41143798828125","25.0141448974609380" 
"65000V017200","65000m01737","新北環快,縣民大道匝道(萬板橋到縣民大道出口)","-99","-99","-99","雙向","2","2","2(新北環快橋縣民大道匝道)","121.482546","25.030497" 
"65000V021150","65000m02165","文化路二段(長江路到民生路)","-99","-99","-99","雙向","6","2","3(路段中側邊)","121.47006418501228","25.0267410899582640" 
"65000V022250","65000m02211","中山路二段(民生路到中山路二段416巷)","-99","-99","-99","雙向","4","2","3(路段中側邊)","121.47651280283526","25.0170703364311070" 
"65000V026110","65000m02611","新莊新大道(新五路至中華路)(新五路到中華路)","-99","-99","-99","單向","2","2","3(路段中側邊)","121.45036500000001","25.0602440000000010" 
"65000V026160","65000m02616","新莊新北大道(中華路至思源路)(中華路到思源路)","-99","-99","-99","雙向","4","2","3(路段中側邊)","121.451843","25.060648" 
"65000V026340","65000m02623","五股新五路(交流道至中港西路)(五股交流道到中港西路)","-99","-99","-99","單向","4","2","3(路段中側邊)","121.44009200000001","25.0616659999999990" 
"65000V026471","65000m02636","新五路一段(五股交流道到中港西路)","-99","-99","-99","單向","4","2","3(路段中側邊)","121.44044599999999","25.0619310000000010" 
"65000V027840","65000m02814","永和路二段(竹林路到福和路)","-99","-99","-99","雙向","4","2","3(路段中側邊)","121.51465808989010","25.0107956077360710" 
"65000V028140","65000mGBGJ4","中正橋(重慶南路三段(臺北市)到永和路)","-99","-99","-99","雙向","5","2","3(路段中側邊)","121.51566692694976","25.0191902040397910" 
"65000V030550","65000m03041","縣民大道二段(漢生東路到民生路)","-99","-99","-99","單向","3","2","3(路段中央分隔島)","121.466205","25.014995" 
"65000V030840","65000m03045","縣民大道二段(漢生東路到民權路)","-99","-99","-99","雙向","4","2","3(路段中央分隔島)","121.46142180151588","25.0110905969091030" 
"65000V031110","65000m03111","板橋縣民大道一段(環河路到館前西路)","-99","-99","-99","雙向","4","2","3(路段中央分隔島)","121.455969","25.004534" 
"65000V035350","65000m03535","五股新五路(成泰路至中興路)(成泰路到中興路)","-99","-99","-99","單向","4","2","3(路段中側邊)","121.444373","25.0891410000000010" 
"65000V035620","65000m03553","新台五路一段(大同路到國三汐止北上匝道)","-99","-99","-99","雙向","4","2","3(路段中側邊)","121.63496254058164","25.0563093340488830" 
"65000V036660","65000m03671","中山路二段(民權路到民生路)","-99","-99","-99","雙向","4","2","3(路段中側邊)","121.47093200683594","25.0143527984619140" 
"65000V037700","65000m03421","文化北路一段(八德路到仁愛路二段)","-99","-99","-99","雙向","6","2","3(路段中側邊)","121.35720564706050","25.0703047579536720" 
"65000V037800","65000m03410","文化一路一段(龜山一路到四維路)","-99","-99","-99","雙向","6","2","3(路段中側邊)","121.37254116023948","25.0705741416584970" 
"65000V040100","65000m04007","民權路(自強路到民富街)","-99","-99","-99","雙向","4","2","3(路段中側邊)","121.46012679115456","25.1284076352313970" 
"65000V040240","65000m03484","中正東路二段(淡金路到民富街)","-99","-99","-99","雙向","6","2","3(路段中側邊)","121.45958308167386","25.1447412708775210" 
"65000V040870","65000m03486","中正東路一段(淡金路到學府路)","-99","-99","-99","雙向","4","2","3(路段側邊)","121.455916","25.159240" 
"65000V041140","65000m04143","淡金路(北新路到中正東路)","-99","-99","-99","單向","3","2","3(路段側邊)","121.356557","24.940749" 
"65000V043040","65000m04295","北新路一段(中正路到文中路)","-99","-99","-99","雙向","4","2","3(路段側邊)","121.541854","24.969311" 
"65000V043860","65000m03187","三峽區復興路(介壽路-三鶯交流道)(介壽路到三鶯交流道)","-99","-99","-99","雙向","4","2","3(路段中側邊)","121.36620268428658","24.9390551936026310" 
"65000V044260","65000m04426","安康路一段(安坑交流道到安和路)","-99","-99","-99","雙向","4","2","3(路段中側邊)","121.51810541168918","24.9640898734145620" 
"65000V046200","65000m03767","中正路(民族路到環河路)","-99","-99","-99","雙向","4","2","3(路段側邊)","121.533775","24.981011" 
"65000V049300","65000mF0011","龍米路一段(孝義路到關渡大橋)","-99","-99","-99","雙向","4","2","3(路段中側邊)","121.45767636385330","25.1151891186023950" 
"65000V049350","65000m04935","八里區關渡大橋(關渡大橋淡水端到關渡大橋八里端)","-99","-99","-99","雙向","4","2","3(橋中側邊)","121.454853","25.124241" 
"65000V071340","65000m20770","正義北路(重新路到重陽路)","-99","-99","-99","單向","2","2","3(路段中側邊)","121.49527740478516","25.0699443817138670" 
"65000V071520","65000m00976","忠孝路二段(重陽路到三民街)","-99","-99","-99","雙向","4","2","3(路段中側邊)","121.48580521289271","25.0708478399773720" 
"65000V071730","65000m02577","三和路(重新路到集賢路)","-99","-99","-99","單向","2","2","3(路段中側邊)","121.487154","25.076378" 
"65000V074250","65000m30075","中山一路(三民路到永安南路)","-99","-99","-99","雙向","4","2","3(路段中側邊)","121.47044956628116","25.07812641620086" 
"65000V075430","65000m07543","三民路(長榮路到中正路)","-99","-99","-99","雙向","4","2","3(路段中側邊)","121.46270066461044","25.0919243977225830" 
"65000V078800","65000m60751","中央路四段(龍泉路到大安路)","-99","-99","-99","雙向","4","2","3(路段中側邊)","121.42889111331868","24.9644388354290360" 
"65000V078810","65000m07881","新北環快(永安街到秀朗橋)","-99","-99","-99","單向","1","2","3(路段中側邊)","121.523471","24.986134" 
"65000V079020","65000m05776","中正路(板南路到連城路)","-99","-99","-99","單向","3","2","3(路段中側邊)","121.48791810","24.994349" 
"65000V079110","65000m02281","光復橋(中山路到西園路二段(臺北市))","-99","-99","-99","雙向","4","2","3(橋中側邊)","121.48675236255932","25.0227738891893030" 
"65000V083720","65000m08372","新莊中原路(新北大道至中平路)(新北大道到中平路)","-99","-99","-99","雙向","2","2","3(路段中側邊)","121.443614","25.0543429999999990" 
"65000V083760","65000m08376","新莊中原路(中平路至中華路)(中平路到中華路)","-99","-99","-99","雙向","2","2","3(路段中側邊)","121.445961","25.0543459999999990" 
"65000V083900","65000m08390","中環路(幸福路到新北大道)","-99","-99","-99","單向","1","2","3(路段中側邊)","121.44244399999999","25.0524960000000010" 
"65000V084000","65000m08400","中環路二段(幸福路到新泰路)","-99","-99","-99","單向","2","2","3(路段中側邊)","121.442401","25.0474959999999990" 
"65000V084040","65000m08404","中環路(新北大道-幸福路)(新北大道到幸福路)","-99","-99","-99","單向","2","2","3(路段中側邊)","121.44219200000001","25.0524920000000010" 
